sex,race,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid,r_charge_desc,r_charge_degree
Male,Hispanic,M,Battery,4,Low,0,,
Male,Other,M,Battery,1,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,M,Possess Cannabis/20 Grams Or Less,9,High,0,Driving License Suspended,(M2)
Male,Caucasian,M,Battery,6,Medium,0,,
Male,African-American,F,arrest case no charge,9,High,1,Possession of Cocaine,(F3)
Male,Caucasian,M,Battery,2,Low,0,,
Male,African-American,F,Possession of Cocaine,8,High,1,Possession of Cocaine,(F3)
Female,African-American,F,Possession Of Alprazolam,5,Medium,1,Operating W/O Valid License,(M2)
Female,Caucasian,F,Possession of Cocaine,6,Medium,1,Prostitution/Lewd Act Assignation,(M2)
Male,Caucasian,F,Poss of Firearm by Convic Felo,7,Medium,0,Possession of Cannabis,(F3)
Female,Caucasian,F,arrest case no charge,6,Medium,1,Sel/Man/Del/Pos/W/Int Diazepam,(F3)
Male,Caucasian,F,Burglary Conveyance Unoccup,5,Medium,1,Carrying A Concealed Weapon,(M1)
Male,Other,F,Felony Petit Theft,4,Low,1,Trespass/Property/Other Structure,(M1)
Female,African-American,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,,
Male,Caucasian,F,arrest case no charge,1,Low,0,,
Male,African-American,F,arrest case no charge,7,Medium,1,Possession of Cannabis,(F3)
Male,Caucasian,M,arrest case no charge,3,Low,0,,
Female,Caucasian,F,Felony Battery w/Prior Convict,3,Low,0,,
Male,African-American,F,Burglary Unoccupied Dwelling,7,Medium,0,,
Male,Caucasian,F,Attempted Robbery  No Weapon,1,Low,0,,
Male,Hispanic,F,Tamper With Witness/Victim/CI,3,Low,0,,
Female,Hispanic,F,Live on Earnings of Prostitute,4,Low,0,,
Male,African-American,M,Viol Prot Injunc Repeat Viol,6,Medium,1,Poss Pyrrolidinovalerophenone,(F3)
Male,Caucasian,M,Fail Register Vehicle,3,Low,1,Leave Acc/Attend Veh/More $50,(M2)
Female,African-American,F,Burglary With Assault/battery,5,Medium,0,,
Male,African-American,F,Felony Battery (Dom Strang),1,Low,0,,
Female,Hispanic,M,Battery,1,Low,0,,
Female,Native American,M,arrest case no charge,2,Low,0,,
Male,African-American,F,Att Tamper w/Physical Evidence,2,Low,0,,
Male,African-American,F,Possession of Cannabis,6,Medium,1,Possess Drug Paraphernalia,(M1)
Male,Hispanic,M,Viol Prot Injunc Repeat Viol,8,High,0,,
Male,African-American,F,arrest case no charge,9,High,0,,
Female,Caucasian,M,Battery,1,Low,0,,
Male,African-American,M,Operating W/O Valid License,3,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,F,Driving While License Revoked,7,Medium,0,,
Male,African-American,F,arrest case no charge,2,Low,0,,
Female,African-American,M,Refuse to Supply DNA Sample,2,Low,0,Crimin Mischief Damage $1000+,(F3)
Male,African-American,F,arrest case no charge,3,Low,0,,
Male,Caucasian,F,Stalking (Aggravated),1,Low,0,,
Male,Caucasian,F,Grand Theft in the 3rd Degree,4,Low,0,,
Male,African-American,F,Felony Battery (Dom Strang),1,Low,0,,
Male,Hispanic,F,Sel/Pur/Mfr/Del Control Substa,5,Medium,0,,
Male,African-American,F,Felony Petit Theft,9,High,1,Grand Theft in the 3rd Degree,(F3)
Male,African-American,F,arrest case no charge,3,Low,0,,
Male,African-American,M,Viol Injunct Domestic Violence,9,High,1,Viol Injunct Domestic Violence,(M1)
Male,Caucasian,F,Grand Theft in the 3rd Degree,7,Medium,1,Possess Drug Paraphernalia,(M1)
Male,African-American,F,Burglary Unoccupied Dwelling,2,Low,0,,
Male,African-American,F,Possession of Cocaine,2,Low,1,Battery,(M1)
Male,Hispanic,M,Disorderly Conduct,2,Low,0,,
Male,African-American,F,Resist Officer w/Violence,6,Medium,0,Possess Drug Paraphernalia,(M1)
Male,Caucasian,F,Possession of Cocaine,1,Low,0,,
Male,African-American,F,Att Burgl Unoccupied Dwel,9,High,1,Possession of Cocaine,(F3)
Male,Caucasian,F,Burglary Dwelling Occupied,6,Medium,1,Susp Drivers Lic 1st Offense,(M2)
Male,Caucasian,F,Felony Battery (Dom Strang),8,High,1,Battery,(M1)
Male,Caucasian,M,Battery,4,Low,0,,
Male,African-American,M,Poss Drugs W/O A Prescription,2,Low,0,,
Male,Other,M,Battery,3,Low,0,,
Male,Hispanic,F,arrest case no charge,9,High,0,Battery,(M1)
Male,Caucasian,F,Aggravated Assault W/o Firearm,1,Low,0,,
Male,Caucasian,M,Driving Under The Influence,3,Low,1,Driving License Suspended,(M2)
Female,Hispanic,F,arrest case no charge,6,Medium,0,,
Male,Caucasian,F,arrest case no charge,1,Low,0,,
Female,African-American,F,Grand Theft in the 1st Degree,1,Low,0,,
Male,African-American,M,Battery,2,Low,0,,
Male,African-American,F,arrest case no charge,7,Medium,0,,
Male,African-American,M,Leave Accd/Attend Veh/Less $50,7,Medium,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,3,Low,0,,
Male,Caucasian,F,Fel Drive License Perm Revoke,1,Low,0,,
Male,African-American,M,Battery,1,Low,0,,
Male,Caucasian,F,Grand Theft in the 3rd Degree,3,Low,0,,
Female,Caucasian,F,Felony Battery w/Prior Convict,7,Medium,1,Resist/Obstruct W/O Violence,(M1)
Male,African-American,F,Burglary Unoccupied Dwelling,4,Low,0,,
Male,African-American,F,Aggravated Assault W/Dead Weap,8,High,1,Throw Deadly Missile Into Veh,(F2)
Female,African-American,F,Resist Officer w/Violence,5,Medium,1,Possession of Cocaine,(F3)
Male,Caucasian,F,Possession Of Alprazolam,5,Medium,0,,
Female,Caucasian,F,Aggrav Battery w/Deadly Weapon,4,Low,0,,
Male,Caucasian,M,Battery,3,Low,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,8,High,1,Harass Witness/Victm/Informnt,(F1)
Male,African-American,F,Aggravated Assault W/dead Weap,9,High,1,Resist/Obstruct W/O Violence,(M1)
Male,African-American,F,Possession Burglary Tools,2,Low,0,Battery,(M1)
Male,Caucasian,F,Possession Of Heroin,4,Low,1,Burglary Dwelling Armed,(F7)
Male,Caucasian,F,arrest case no charge,5,Medium,0,,
Male,African-American,M,Battery,3,Low,0,,
Female,Caucasian,M,Battery,2,Low,0,,
Male,African-American,F,Poss of Cocaine W/I/D/S 1000FT Park,8,High,0,,
Male,African-American,F,Robbery Sudd Snatch No Weapon,3,Low,0,,
Male,African-American,F,arrest case no charge,2,Low,0,,
Male,Caucasian,M,Battery,1,Low,0,,
Female,African-American,F,Grand Theft in the 3rd Degree,5,Medium,0,,
Female,African-American,M,Disorderly Conduct,6,Medium,0,,
Male,Caucasian,M,Battery,1,Low,0,,
Male,African-American,F,Lewd Act Presence Child 16-,1,Low,1,Sex Batt Faml/Cust Vict 12-17Y,(F1)
Female,African-American,M,Battery,2,Low,0,,
Female,Caucasian,F,Poss Contr Subst W/o Prescript,1,Low,1,DUI Property Damage/Injury,(M1)
Male,African-American,M,Soliciting For Prostitution,1,Low,0,,
Male,Hispanic,F,arrest case no charge,1,Low,1,Expired DL More Than 6 Months,(M2)
Male,African-American,F,Felony Driving While Lic Suspd,4,Low,0,,
Male,Hispanic,M,Extradition/Defendants,9,High,0,,
Female,Caucasian,F,Battery on Law Enforc Officer,1,Low,1,Driving License Suspended,(M2)
Male,African-American,F,Grand Theft in the 3rd Degree,4,Low,0,,
Male,African-American,F,Felony Driving While Lic Suspd,7,Medium,0,,
Male,African-American,F,Felony Battery (Dom Strang),2,Low,1,Operating W/O Valid License,(M2)
Female,African-American,F,Uttering a Forged Instrument,5,Medium,0,,
Male,Caucasian,F,Grand Theft in the 3rd Degree,7,Medium,0,,
Male,African-American,M,arrest case no charge,6,Medium,0,,
Male,Caucasian,F,Grand Theft (Motor Vehicle),1,Low,1,Grand Theft (Motor Vehicle),(F3)
Male,Caucasian,M,Battery,2,Low,0,,
Male,Hispanic,M,Battery,6,Medium,0,,
Male,Caucasian,F,Resist Officer w/Violence,5,Medium,1,Expired DL More Than 6 Months,(M2)
Female,African-American,F,Possession of Cocaine,3,Low,1,Prostitution,(MO3)
Male,African-American,F,Felony Batt(Great Bodily Harm),4,Low,1,Destroy Damage Alter Elec Monitor Equip,(F3)
Male,Hispanic,M,Aggrav Battery w/Deadly Weapon,1,Low,0,,
Male,Other,F,arrest case no charge,10,High,1,Battery,(M1)
Male,Hispanic,F,Aggravated Assault W/Dead Weap,9,High,0,,
Male,African-American,F,Crim Use of Personal ID Info,6,Medium,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,Caucasian,F,Driving While License Revoked,2,Low,1,Unlaw LicTag/Sticker Attach,(M2)
Male,Asian,M,Battery,3,Low,0,,
Male,African-American,F,Grand Theft (Motor Vehicle),6,Medium,1,Resist/Obstruct W/O Violence,(M1)
Male,Hispanic,F,Grand Theft in the 3rd Degree,4,Low,0,,
Male,African-American,F,Poss Wep Conv Felon,7,Medium,1,Uttering a Forged Instrument,(F3)
Male,Other,F,Possession Of Alprazolam,1,Low,0,,
Male,African-American,F,Poss Pyrrolidinovalerophenone,10,High,1,Resist Officer w/Violence,(F3)
Male,Caucasian,F,Grand Theft in the 3rd Degree,4,Low,1,Trespass Other Struct/Conve,(M1)
Male,African-American,F,Drivg While Lic Suspd/Revk/Can,8,High,1,Armed False Imprisonment,(F2)
Male,Other,M,Viol Prot Injunc Repeat Viol,1,Low,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,3,Low,1,Petit Theft,(M2)
Female,Caucasian,F,arrest case no charge,7,Medium,1,False Ownership Info/Pawn Item,(F3)
Male,Caucasian,F,"Deliver 3,4 Methylenediox",7,Medium,0,,
Male,Caucasian,M,Driving Under The Influence,1,Low,1,Resist/Obstruct W/O Violence,(M1)
Male,Caucasian,F,arrest case no charge,7,Medium,1,Misuse Of Wireless 911 System,(M1)
Male,Caucasian,M,Battery,1,Low,0,,
Male,African-American,M,Driving License Suspended,5,Medium,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,7,Medium,0,,
Female,Hispanic,F,Grand Theft in the 3rd Degree,1,Low,0,,
Male,Caucasian,M,Battery,5,Medium,0,,
Male,African-American,F,Burglary Dwelling Occupied,9,High,1,Burgl Dwel/Struct/Convey Armed,(F1)
Female,Caucasian,M,Battery,9,High,0,,
Male,African-American,F,Poss Tetrahydrocannabinols,2,Low,0,,
Male,Caucasian,M,Refuse Submit Blood/Breath Test,7,Medium,0,,
Male,African-American,F,Driving While License Revoked,5,Medium,0,,
Male,African-American,F,arrest case no charge,7,Medium,1,Petit Theft $100- $300,(M1)
Male,Caucasian,M,Driving Under The Influence,4,Low,0,,
Female,African-American,M,Battery,2,Low,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,8,High,1,Grand Theft Firearm,(F3)
Male,Caucasian,M,Refuse Submit Blood/Breath Test,1,Low,1,Driving Under The Influence,(M2)
Female,Other,F,Aggrav Battery w/Deadly Weapon,4,Low,0,,
Male,Caucasian,M,Driving Under The Influence,1,Low,0,,
Male,African-American,M,Criminal Mischief,8,High,1,Operating W/O Valid License,(M2)
Female,African-American,M,Battery,7,Medium,1,Fail to Report Change/Residence,(F3)
Male,Caucasian,M,Trespass Other Struct/Conve,7,Medium,1,Petit Theft,(M2)
Male,Caucasian,M,Battery,6,Medium,0,,
Male,African-American,M,Battery,3,Low,0,,
Female,Caucasian,F,Battery on Law Enforc Officer,1,Low,0,,
Male,Caucasian,M,Battery,1,Low,0,,
Male,African-American,M,Battery,9,High,1,Aggravated Battery / Pregnant,(M1)
Male,African-American,F,Aggrav Stalking After Injunctn,4,Low,0,Possess Cannabis/20 Grams Or Less,(M1)
Female,African-American,F,Grand Theft in the 3rd Degree,5,Medium,1,Petit Theft,(M2)
Male,Caucasian,F,Agg Battery Grt/Bod/Harm,1,Low,0,,
Male,Hispanic,M,Battery,4,Low,1,Criminal Mischief>$200<$1000,(M1)
Male,Caucasian,M,DUI Property Damage/Injury,4,Low,0,,
Male,African-American,M,Battery,10,High,0,,
Male,African-American,F,Pos Cannabis W/Intent Sel/Del,10,High,0,,
Male,Caucasian,M,Battery,4,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,M,Battery,2,Low,1,Driving Under The Influence,(M1)
Male,African-American,M,Possess Drug Paraphernalia,7,Medium,0,,
Male,Caucasian,M,Susp Drivers Lic 1st Offense,1,Low,0,,
Male,African-American,M,Driving Under The Influence,4,Low,1,Poss Pyrrolidinovalerophenone,(F3)
Male,African-American,F,arrest case no charge,7,Medium,0,,
Male,Hispanic,F,Solicit Deliver Cocaine,10,High,1,Battery,(M1)
Male,African-American,F,Attempt Burglary (Struct),3,Low,0,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,F,Pos Cannabis W/Intent Sel/Del,3,Low,0,,
Male,African-American,M,Prowling/Loitering,10,High,1,Possession Of Alprazolam,(F3)
Male,Caucasian,M,Viol Injunct Domestic Violence,3,Low,1,Possess Drug Paraphernalia,(M1)
Male,Caucasian,F,arrest case no charge,9,High,0,,
Male,African-American,F,Felon in Pos of Firearm or Amm,10,High,1,Trespass Struct/Conveyance,(M2)
Male,Caucasian,M,Battery,1,Low,0,,
Female,Caucasian,F,Possession of Cocaine,4,Low,0,,
Male,Hispanic,F,Felony Petit Theft,8,High,1,Petit Theft,(M2)
Male,Caucasian,F,Possession of Cocaine,3,Low,1,Possess Drug Paraphernalia,(M1)
Female,African-American,M,Battery,7,Medium,1,Operating W/O Valid License,(M2)
Male,Hispanic,F,Crimin Mischief Damage $1000+,3,Low,0,,
Male,African-American,F,Possession of Cocaine,1,Low,0,,
Male,Native American,F,Possession of Cocaine,2,Low,0,,
Male,Caucasian,F,arrest case no charge,6,Medium,1,False Ownership Info/Pawn Item,(F3)
Male,Asian,F,arrest case no charge,1,Low,1,No Wholesale/ Retail Dealer Lic,(M2)
Female,African-American,M,arrest case no charge,1,Low,0,,
Male,Caucasian,M,DUI Level 0.15 Or Minor In Veh,5,Medium,0,,
Male,African-American,F,Burglary Dwelling Armed,3,Low,1,Battery,(M1)
Male,Caucasian,M,Battery,1,Low,0,,
Male,Hispanic,F,Pos Cannabis W/Intent Sel/Del,10,High,1,Pos Cannabis W/Intent Sel/Del,(F3)
Male,Caucasian,F,arrest case no charge,7,Medium,1,Ped Obstruct Traf/No Permit Sol,(M2)
Male,Caucasian,F,Possession Of Methamphetamine,1,Low,1,Criminal Mischief>$200<$1000,(M1)
Male,Caucasian,M,Viol Pretrial Release Dom Viol,8,High,1,Robbery / No Weapon,(F2)
Male,Other,F,Burglary Unoccupied Dwelling,5,Medium,0,,
Male,African-American,F,Felony Battery,8,High,0,,
Male,African-American,F,Driving While License Revoked,9,High,1,Operating W/O Valid License,(M2)
Female,African-American,M,Battery,3,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,F,arrest case no charge,6,Medium,0,,
Male,African-American,F,Possession Burglary Tools,9,High,0,,
Male,Caucasian,F,Driving While License Revoked,8,High,1,Driving License Suspended,(M2)
Male,African-American,F,Grand Theft in the 3rd Degree,1,Low,0,,
Male,African-American,F,Pos Cannabis W/Intent Sel/Del,6,Medium,1,Unlaw LicTag/Sticker Attach,(M2)
Male,Other,F,Grand Theft in the 3rd Degree,2,Low,1,Grand Theft in the 3rd Degree,(F3)
Male,African-American,F,Resist Officer w/Violence,4,Low,1,Battery,(M1)
Male,African-American,F,Crim Use of Personal ID Info,4,Low,1,Unlaw LicTag/Sticker Attach,(M2)
Male,Caucasian,F,Aggravated Battery,2,Low,0,,
Male,Caucasian,M,Crim Attempt/Solicit/Consp,7,Medium,0,,
Male,Hispanic,M,Operating W/O Valid License,1,Low,0,,
Male,African-American,M,Susp Drivers Lic 1st Offense,7,Medium,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,F,Grand Theft in the 3rd Degree,9,High,1,Burglary Dwelling Occupied,(F2)
Male,Caucasian,F,Possession of Cocaine,9,High,1,Trespass Struct/Convey Occupy,(M1)
Male,African-American,M,Battery,2,Low,1,Driving while DL Susp / Financial Resp,(M2)
Male,African-American,F,Possession of Cocaine,9,High,1,Driving License Suspended,(M2)
Female,African-American,M,arrest case no charge,8,High,1,Grand Theft (Motor Vehicle),(F3)
Male,Caucasian,M,DUI Property Damage/Injury,3,Low,0,,
Male,Caucasian,F,DWI w/Inj Susp Lic / Habit Off,3,Low,0,,
Male,Caucasian,F,arrest case no charge,5,Medium,1,Possess Drug Paraphernalia,(M1)
Male,African-American,F,Driving While License Revoked,8,High,1,Trespass Struct/Conveyance,(M2)
Male,African-American,F,Agg Battery Grt/Bod/Harm,8,High,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,F,Burglary Unoccupied Dwelling,7,Medium,1,Possession of Cannabis,(F3)
Male,African-American,M,Battery,1,Low,0,,
Female,African-American,F,Felony Petit Theft,7,Medium,1,Petit Theft $100- $300,(M1)
Male,Hispanic,M,Possess Cannabis/20 Grams Or Less,5,Medium,1,Loitering/Prowling,(MO3)
Male,African-American,F,arrest case no charge,1,Low,0,,
Male,African-American,F,"Deliver 3,4 Methylenediox",8,High,0,,
Male,African-American,F,Aggravated Assault W/o Firearm,4,Low,1,Operating W/O Valid License,(M2)
Male,Caucasian,F,Possession of Cocaine,7,Medium,1,Unlaw Use False Name/Identity,(M1)
Female,Caucasian,M,Battery,3,Low,0,,
Male,Caucasian,F,arrest case no charge,9,High,1,Burglary Dwelling Occupied,(F2)
Male,African-American,M,arrest case no charge,7,Medium,0,,
Male,African-American,F,Possession of Cannabis,9,High,1,Resist/Obstruct W/O Violence,(M1)
Male,Caucasian,M,DUI- Enhanced,1,Low,0,,
Male,African-American,F,Crim Use of Personal ID Info,1,Low,1,DWLS Canceled Disqul 1st Off,(M2)
Male,African-American,F,Felony Batt(Great Bodily Harm),6,Medium,1,Uttering a Forged Instrument,(F3)
Male,African-American,F,Burglary Unoccupied Dwelling,5,Medium,0,,
Male,Caucasian,M,Driving Under The Influence,4,Low,0,,
Male,African-American,M,arrest case no charge,2,Low,1,Battery,(M1)
Male,African-American,M,Battery,10,High,0,,
Male,African-American,F,False Imprisonment,9,High,0,,
Male,Caucasian,F,arrest case no charge,4,Low,1,Trespass Struct/Conveyance,(M2)
Male,Caucasian,M,Petit Theft $100- $300,4,Low,0,Petit Theft,(M2)
Female,Hispanic,F,arrest case no charge,6,Medium,1,Petit Theft,(M2)
Male,African-American,M,Driving License Suspended,7,Medium,0,,
Male,Other,M,Battery,1,Low,0,,
Male,Hispanic,M,Battery,1,Low,0,,
Male,African-American,F,Grand Theft (Motor Vehicle),3,Low,1,Susp Drivers Lic 1st Offense,(M2)
Male,African-American,F,arrest case no charge,5,Medium,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,African-American,M,Violation License Restrictions,2,Low,0,,
Male,Caucasian,F,"Poss3,4 Methylenedioxymethcath",3,Low,0,,
Male,African-American,M,Assault,10,High,1,Deliver Cocaine,(F2)
Male,African-American,F,Stalking (Aggravated),2,Low,0,,
Male,African-American,F,Possession of Cocaine,2,Low,0,,
Male,African-American,F,arrest case no charge,8,High,1,Petit Theft,(M2)
Male,African-American,F,Burglary Structure Unoccup,3,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,Caucasian,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,4,Low,0,,
Male,Caucasian,F,Grand Theft in the 3rd Degree,5,Medium,1,Trespass Other Struct/Convey,(M1)
Male,African-American,F,Throw Deadly Missile Into Veh,1,Low,0,,
Female,African-American,M,arrest case no charge,6,Medium,0,,
Male,Caucasian,F,Aggravated Assault w/Firearm,1,Low,0,,
Male,Caucasian,F,Burglary Conveyance Unoccup,3,Low,0,,
Male,Caucasian,F,arrest case no charge,1,Low,1,Theft/To Deprive,(M1)
Male,African-American,F,Uttering a Forged Instrument,4,Low,0,,
Male,African-American,F,Pos Cannabis W/Intent Sel/Del,3,Low,0,,
Male,Caucasian,F,Burglary Structure Unoccup,4,Low,0,,
Male,African-American,M,Battery,2,Low,0,,
Male,Caucasian,M,Battery,5,Medium,0,,
Male,African-American,M,Battery,7,Medium,0,,
Male,African-American,F,arrest case no charge,5,Medium,1,No Valid DL / Non Resident,(M2)
Male,African-American,M,Battery,1,Low,0,,
Male,Caucasian,F,Possession of Cocaine,4,Low,0,,
Male,Caucasian,F,Grand Theft in the 3rd Degree,2,Low,1,Crimin Mischief Damage $1000+,(F3)
Male,Hispanic,M,arrest case no charge,5,Medium,0,,
Male,African-American,M,Assault,3,Low,1,DWLS Canceled Disqul 1st Off,(M2)
Male,Caucasian,M,Driving Under The Influence,1,Low,1,Battery,(M1)
Male,Native American,F,"Aggr Child Abuse-Torture,Punish",2,Low,0,,
Male,African-American,F,Aggravated Battery / Pregnant,1,Low,0,,
Female,Other,F,Neglect Child / No Bodily Harm,4,Low,1,Possession of XLR11,(F3)
Male,African-American,F,Felony Battery w/Prior Convict,5,Medium,1,Throw Missile Into Pub/Priv Dw,(F2)
Male,African-American,M,Assault,5,Medium,0,Possession Of Heroin,(F3)
Female,African-American,M,Battery,7,Medium,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,8,High,0,,
Male,African-American,F,Possession of Cocaine,9,High,1,Unlaw Use False Name/Identity,(M1)
Female,Caucasian,F,Grand Theft in the 3rd Degree,4,Low,0,,
Male,African-American,M,arrest case no charge,3,Low,0,,
Male,Caucasian,F,arrest case no charge,1,Low,1,Unlaw LicTag/Sticker Attach,(M2)
Male,Caucasian,F,arrest case no charge,1,Low,0,,
Male,Caucasian,M,DUI - Enhanced,1,Low,0,,
Male,African-American,F,Possession of Cocaine,3,Low,1,Possession of Cocaine,(F3)
Female,African-American,F,Aggrav Battery w/Deadly Weapon,1,Low,0,,
Male,Hispanic,F,arrest case no charge,8,High,1,Susp Drivers Lic 1st Offense,(M2)
Male,African-American,F,Felony Petit Theft,9,High,0,Grand Theft in the 3rd Degree,(F3)
Male,Other,F,Purchase Cannabis,4,Low,0,,
Male,African-American,F,Felony Petit Theft,9,High,1,Grand Theft in the 3rd Degree,(F3)
Female,Hispanic,M,Battery,4,Low,0,,
Male,African-American,F,Tampering With Physical Evidence,4,Low,0,,
Male,African-American,F,arrest case no charge,8,High,1,Possession of Ethylone,(F3)
Male,African-American,F,arrest case no charge,6,Medium,0,,
Male,Caucasian,M,DUI Level 0.15 Or Minor In Veh,2,Low,1,Theft/To Deprive,(M1)
Male,Hispanic,M,Driving License Suspended,4,Low,0,,
Male,Caucasian,M,DUI Blood Alcohol Above 0.20,1,Low,0,,
Male,African-American,F,Pos Cannabis W/Intent Sel/Del,7,Medium,1,Operating W/O Valid License,(M2)
Male,Caucasian,M,Battery,1,Low,1,Trespass,(MO3)
Male,Caucasian,M,Battery,2,Low,1,Indecent Exposure,(M1)
Male,African-American,F,Grand Theft in the 3rd Degree,9,High,0,,
Female,African-American,F,Possession of Cocaine,8,High,1,Petit Theft,(M2)
Male,African-American,M,Battery,5,Medium,0,,
Male,African-American,F,Grand Theft (Motor Vehicle),9,High,1,Operating W/O Valid License,(M2)
Male,African-American,F,Possession of Cocaine,5,Medium,0,,
Male,African-American,F,Grand Theft (Motor Vehicle),1,Low,1,Susp Drivers Lic 1st Offense,(M2)
Male,African-American,F,Poss Pyrrolidinovalerophenone,10,High,1,Felon in Pos of Firearm or Amm,(F2)
Male,African-American,F,arrest case no charge,3,Low,0,,
Male,Caucasian,F,Aggravated Battery / Pregnant,10,High,1,Viol Injunct Domestic Violence,(M1)
Male,African-American,F,Aggravated Battery / Pregnant,4,Low,0,,
Male,Other,F,Grand Theft in the 3rd Degree,6,Medium,0,Possess Cannabis/20 Grams Or Less,(M1)
Female,African-American,M,Battery,1,Low,0,,
Male,Caucasian,F,Robbery / No Weapon,4,Low,0,,
Female,African-American,M,Battery,1,Low,0,,
Male,Hispanic,F,arrest case no charge,5,Medium,0,,
Female,Caucasian,M,Expired DL More Than 6 Months,3,Low,0,,
Male,Caucasian,F,Possession of Cocaine,1,Low,1,,(M1)
Male,African-American,F,arrest case no charge,1,Low,0,,
Male,Caucasian,M,Battery,3,Low,1,Battery,(M1)
Female,African-American,M,arrest case no charge,1,Low,0,,
Male,African-American,F,arrest case no charge,7,Medium,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,4,Low,0,,
Male,African-American,M,Battery,1,Low,0,,
Male,African-American,M,Battery,2,Low,0,,
Male,African-American,F,Possession of Cocaine,2,Low,0,,
Male,African-American,F,Poss Unlaw Issue Driver Licenc,3,Low,0,,
Male,African-American,F,Felony Driving While Lic Suspd,7,Medium,1,Driving License Suspended,(M2)
Male,African-American,M,Petit Theft,5,Medium,0,,(M1)
Male,Caucasian,M,Battery,1,Low,0,,
Female,African-American,F,Grand Theft in the 3rd Degree,4,Low,0,,
Male,African-American,M,Driving License Suspended,10,High,1,Driving License Suspended,(M2)
Male,African-American,F,Poss of Methylethcathinone,7,Medium,0,,
Male,Caucasian,F,Possession of Cocaine,2,Low,0,,
Female,African-American,F,arrest case no charge,2,Low,1,Petit Theft,(M2)
Male,Caucasian,F,Lewd/Lasc Battery Pers 12+/<16,1,Low,0,,
Male,Caucasian,M,arrest case no charge,1,Low,0,,
Female,Caucasian,M,Battery,2,Low,0,,
Male,African-American,F,Carrying Concealed Firearm,2,Low,0,Susp Drivers Lic 1st Offense,(M2)
Female,African-American,M,Battery,4,Low,0,,
Male,African-American,F,Burglary Dwelling Armed,5,Medium,0,,
Male,Hispanic,F,Burglary Conveyance Unoccup,10,High,1,Felony Petit Theft,(F3)
Male,African-American,F,"Poss 3,4 MDMA (Ecstasy)",7,Medium,1,Poss Pyrrolidinovalerophenone,(F3)
Female,African-American,M,Battery,4,Low,0,,
Male,African-American,F,Burglary Conveyance Unoccup,6,Medium,0,,
Female,Caucasian,F,arrest case no charge,5,Medium,0,,
Male,African-American,M,Possess Cannabis/20 Grams Or Less,10,High,1,Driving License Suspended,(M2)
Male,African-American,F,Grand Theft in the 3rd Degree,1,Low,0,Petit Theft $100- $300,(M1)
Male,African-American,F,arrest case no charge,2,Low,0,,
Female,Other,M,Battery,1,Low,0,,
Male,Caucasian,M,Driving Under The Influence,1,Low,0,,
Male,Caucasian,M,Battery,4,Low,1,Battery,(M1)
Male,African-American,M,Disorderly Intoxication,9,High,0,,
Male,African-American,F,Pos Cannabis W/Intent Sel/Del,8,High,0,Driving License Suspended,(M2)
Male,Hispanic,F,Use of Anti-Shoplifting Device,3,Low,1,Use of Anti-Shoplifting Device,(F3)
Male,Asian,F,Felony Petit Theft,8,High,1,Grand Theft in the 3rd Degree,(F3)
Female,African-American,M,Prostitution/Lewd Act Assignation,4,Low,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,10,High,1,Grand Theft in the 3rd Degree,(F3)
Male,African-American,F,Grand Theft in the 3rd Degree,6,Medium,1,Trespass Other Struct/Conve,(M1)
Male,African-American,M,Resist/Obstruct W/O Violence,4,Low,0,Retail Theft $300 1st Offense,(F3)
Male,Hispanic,F,Possession Of Alprazolam,4,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,Caucasian,M,Possess Cannabis/20 Grams Or Less,4,Low,0,Drink/Premises Licensed Estab,(CO3)
Male,African-American,F,arrest case no charge,2,Low,0,,
Male,African-American,F,Driving While License Revoked,6,Medium,0,Possession Of Cocaine 1000FT Sch,(F1)
Male,Hispanic,F,Possession of Cocaine,5,Medium,1,Operating W/O Valid License,(M2)
Male,Hispanic,F,arrest case no charge,3,Low,1,Driving License Suspended,(M2)
Male,African-American,M,Battery,4,Low,1,Battery,(M1)
Male,African-American,F,Att Burgl Unoccupied Dwel,8,High,0,,
Female,Caucasian,M,Battery,1,Low,0,,
